x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
2.5,0.5,2,-1,1,-1,0.5,1.5,0.5,-1.5
0,0,0.5,1,1.5,1,-1,1,1.5,-1
1.5,1,1,-1,0,-1.5,-1,-1,1,-1
0,0.5,-2,0,-1,1.5,-1.5,0,-2,-1.5
0,0,0,-0.5,0.5,1,-0.5,-0.5,0,0
1,-0.5,0,0,0,0.5,-1,1,-2,1
1,-1,-1,-1,0,1.5,0,1,0,0
0,-1.5,-0.5,1.5,0,0,0,-1,0.5,-0.5
-2,-1.5,1.5,1.5,0,0,0.5,1,0,1
-0.5,3.5,0,-1,-1.5,-1.5,-1,-1,1,0.5
0,1.5,0,0,2,-1.5,0.5,-0.5,2,-1
0,-2,-0.5,0,-0.5,2,1.5,0,0.5,-1
-1,-0.5,-0.5,-1,0,0.5,0.5,-1.5,-1,-1
0.5,1,-1,-0.5,-2,-1,-1.5,0,1.5,1.5
1,0,1.5,1.5,1,-1,0,1,-2,-1.5
